Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-10-17,Anand Vihar,183.3,10,2017,1,Autumn,,183.3,183.3
2017-10-18,Anand Vihar,130.55555555555554,10,2017,2,Autumn,183.3,156.92777777777778,156.92777777777778
2017-10-19,Anand Vihar,111.58333333333333,10,2017,3,Autumn,130.55555555555554,141.81296296296296,141.81296296296296
2017-10-20,Anand Vihar,152.82608695652175,10,2017,4,Autumn,111.58333333333333,131.6549919484702,144.56624396135265
2017-10-21,Anand Vihar,146.1904761904762,10,2017,5,Autumn,152.82608695652175,136.8666321601104,144.89109040717736
2017-10-22,Anand Vihar,129.0,10,2017,6,Autumn,146.1904761904762,142.67218771566598,142.24257533931447
2017-10-23,Anand Vihar,138.11764705882354,10,2017,0,Autumn,129.0,137.76937441643324,141.65329987067292
2017-10-24,Anand Vihar,282.2105263157895,10,2017,1,Autumn,138.11764705882354,183.109391124871,155.78337505864283
2017-10-25,Anand Vihar,471.69565217391306,10,2017,2,Autumn,282.2105263157895,297.341275182842,204.517674575551
2017-10-26,Anand Vihar,457.4583333333333,10,2017,3,Autumn,471.69565217391306,403.78817060767864,253.92838886126535
2017-10-27,Anand Vihar,427.8888888888889,10,2017,4,Autumn,457.4583333333333,452.3476247987117,293.2230748516035
2017-10-28,Anand Vihar,450.125,10,2017,5,Autumn,427.8888888888889,445.1574074074074,336.6422925386783
2017-10-29,Anand Vihar,431.125,10,2017,6,Autumn,450.125,436.3796296296296,379.8030068243926
2017-10-30,Anand Vihar,467.5625,10,2017,0,Autumn,431.125,449.6041666666667,426.8665572445607
2017-10-31,Anand Vihar,489.14285714285717,10,2017,1,Autumn,467.5625,462.61011904761904,456.42831879128465
2017-11-01,Anand Vihar,403.6923076923077,11,2017,2,Autumn,489.14285714285717,453.4658882783883,446.71355529391246
2017-11-02,Anand Vihar,356.95238095238096,11,2017,3,Autumn,403.6923076923077,416.59584859584857,432.35556209663355
2017-11-03,Anand Vihar,399.8333333333333,11,2017,4,Autumn,356.95238095238096,386.82600732600736,428.34762558869704
2017-11-04,Anand Vihar,437.7916666666667,11,2017,5,Autumn,399.8333333333333,398.1924603174603,426.5857208267923
2017-11-05,Anand Vihar,451.90909090909093,11,2017,6,Autumn,437.7916666666667,429.844696969697,429.55487667094815
2017-11-06,Anand Vihar,469.25,11,2017,0,Autumn,451.90909090909093,452.9835858585859,429.7959480995196
2017-11-07,Anand Vihar,412.2173913043478,11,2017,1,Autumn,469.25,444.45882740447956,418.8065958368753
